Zpid,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,Price Square FeetPrice/sqft,Bedrooms,Bathrooms,Full bathrooms,Features,Flooring,Heating features,Cooling features,Laundry features,Interior features,Total structure area,Total interior livable area,Total number of fireplaces,Fireplace features,Total spaces,Parking features,Garage spaces,Covered spaces,Levels,Stories,Pool features,Exterior features,Lot features,Special conditions,Home type,Architectural style,Property subType,Construction materials,Roof,Property condition,New construction,Year built,Electric information,Water information,Region,Subdivision,HOA fee,Amenities included,Services included,Association name,Association phone,Price Range,Listing Terms,Appliances included,Patio and porch details,Sewer information,Security features,Window features,Accessibility features,View description,Builder name,Entry location
15629590,CONDO,1965,"Baseboard, Other, Electric",None,No Data,$654 monthly,$641,3,2,2,," Tile, Laminate"," Baseboard, Other, Electric",None," Coin Operated, Community Facility",,," 1,404 sqft",,,,,,,,,,,,,Condo,,,,Flat / Low Pitch,,No,1965,,,Belmont,,,,,,,,," Dishwasher, Garbage disposal, Range / Oven, Refrigerator",,,Secured Garage / Parking,,,,,
2079633737,LOT,No Data,"Electric, Gas",No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belmont,,,,,,,,,,,,,,,,,
2103385400,LOT,No Data,Gas,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belmont,,,,,,,,,,,,,,,,,
2077246710,SINGLE_FAMILY,2020,Forced air,Central,Garage - Attached,,"$1,044",5,6,5,,,Forced air,Central,,,," 4,500 sqft",,,,Garage - Attached,,,,,,,,,SingleFamily,,,,Tile,,No,2020,,,Belmont,,,,,,,,,,,,,,,,,
2106182761,LOT,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belmont,,,,,,,,,,,,,,,,,
2077983768,CONDO,2020,"Forced air, Gas",Central,1 Parking space,$324 monthly,"$1,109",1,1,1,," Tile, Hardwood"," Forced air, Gas",Central," Gas Hookup, Inside",,,828 sqft,,,1," Garage - Attached, ",,,,,,,,,Condo,,,,Other,,No,2020,,,Belmont,,,,,,,,," Dishwasher, Garbage disposal, Microwave, Refrigerator",,," Fire System - Sprinkler, Fire Alarm, Secured Garage / Parking, Controlled / Secured Access",,,,,
2103708987,LOT,No Data,"Electric, Gas",No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belmont,,,,,,,,,,,,,,,,,
124733535,Condominium,1963,Forced Air,None,1 Carport space,$194 monthly,$749,2,1,1," Counter - Solid Surface, Dishwasher, Eat In Kitchen, Electric Range/Cooktop, Range/Oven Free Standing, Refrigerator, Self-Cleaning Oven, Updated Kitchen"," Tile, Wood",Forced Air,None,Laundry Room," Counter - Solid Surface, Eat-in Kitchen, Updated Kitchen, No Additional Rooms, Conversion",661,661 sqft,0,None,1,Carport,,1," One Story,One",1,None,Unit Faces Common Area,Regular,Standard,Condo,Contemporary,Condominium,Stucco,Rolled/Hot Mop,Existing,No,1963,No Solar,Public,Berkeley,NORTH BERKELEY,$194 monthly,Laundry," Common Area Maint, Hazard Insurance, Reserves, Trash, Water/Sewer, Maintenance Grounds",CALL LISTING AGENT,707-813-0072,$495K - $495K," Cash,Conventional"," Gas Water Heater, Dishwasher, Electric Range, Free-Standing Range, Refrigerator, Self Cleaning Oven"," Patio, Covered",Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,None,City Lights,,
24841415,Detached,1944,Forced Air,Central Air,Carport,,$660,4,2,2," Breakfast Nook, Counter - Solid Surface, Garbage Disposal, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile",Forced Air,Central Air," Dryer, In Basement, Washer"," Breakfast Nook, Counter - Solid Surface, Updated Kitchen"," 1,591"," 1,591 sqft",2," Brick, Living Room, Wood Burning",,Carport - 2 Or More,,,Two Story,2,None," Front Yard, Garden/Play, Side Yard, Garden"," Corner Lot, Regular, Front Yard, Landscape Front",Standard,SingleFamily,Traditional,Detached,Wood Siding,Composition Shingles,Existing,No,1944,No Solar,Public,Berkeley,NORTH BERKELEY,,,,,,$1.1M - $1.1M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Disposal, Gas Range, Refrigerator"," Patio, Porch",Public Sewer,,,,,,
2104744445,Condominium,1930,"Individual Rm Controls, Steam",Ceiling Fan(s),1 Garage space,$422 monthly,$806,2,2,2," Counter - Stone, Dishwasher, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile"," Individual Rm Controls, Steam",Ceiling Fan(s)," Laundry Closet, In Unit, Stacked Only"," Stone Counters, Updated Kitchen, No Additional Rooms",900,900 sqft,0,None,1,Garage,1,1," Two Story,Two",2,None," Garden, Unit Faces Common Area, Unit Faces Street",Level,Standard,Condo,Craftsman,Condominium,Stucco,Rolled/Hot Mop,Existing,No,1930,No Solar,Public,Berkeley,CENTRAL BERKELEY,$422 monthly,Other," Common Area Maint, Common Heating, Common Hot Water, Exterior Maintenance, Management Fee, Trash, Water/Sewer, Insurance, Maintenance Grounds",NOT LISTED,925-249-8800,$725K - $725K,Conventional," Dryer, Washer, Dishwasher, Gas Range, Refrigerator",,," Security System Owned, Smoke Detector(s)",,None,,,
24839120,Quadruplex,1943,Wall Furnace,No Air Conditioning,3 Parking spaces,,$600,4,4,,," Hardwood, Tile, Vinyl, Carpet",Wall Furnace,No Air Conditioning," Dryer, In Unit, Washer",," 3,000"," 3,000 sqft",,,3," Parking Lot, Uncovered Park Spaces 2+, Street Parking",,,,,," Back Yard, Garden/Play, Side Yard, Low Maintenance"," Corner Lot, Landscape Back, Landscape Front",Standard,MultiFamily,,Quadruplex," Stucco, Frame",Composition Shingles,,,1943,,Public,Berkeley,,,,,,,$1.8M - $1.8M,None," Dryer, Washer, Gas Water Heater"," Patio, Balcony/Patio",Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater, Secured Access, Smoke Detector(s)",,,,,
24846627,Detached,1926,Forced Air,Ceiling Fan(s),Off Street,,$665,4,3,3," Breakfast Bar, Counter - Stone, Dishwasher, Eat In Kitchen, Gas Range/Cooktop, Microwave, Oven Built-in, Pantry, Refrigerator, Self-Cleaning Oven",Hardwood Flrs Throughout,Forced Air,Ceiling Fan(s),Laundry Room," Breakfast Bar, Stone Counters, Eat-in Kitchen, Pantry, Family Room"," 2,548"," 2,548 sqft",1,Living Room,,Off Street,,,Two Story,2,None," Back Yard, Front Yard",Regular,Standard,SingleFamily,Craftsman,Detached,Stucco,Composition Shingles,Existing,No,1926,No Solar,Public District (Irrigat),Berkeley,THOUSAND OAKS,,,,,,$1.7M - $1.7M," Cash,Conventional"," Dryer, Washer, Dishwasher, Gas Range, Microwave, Oven, Refrigerator, Self Cleaning Oven",,,,Window Coverings,,,,
24828278,Detached,1908,Forced Air,None,"Off Street, Parking Spaces, Side Yard Access",,$652,4,2,2," Counter - Solid Surface, Dishwasher, Range/Oven Free Standing, Updated Kitchen"," Hardwood, Tile",Forced Air,None," Dryer, Washer, In Unit"," Counter - Solid Surface, Updated Kitchen, Dining Area, Family Room, Office"," 2,141"," 2,141 sqft",1," Dining Room, Family Room",," Off Street, Parking Spaces, Side Yard Access",,,Two Story,2,None," Back Yard, Front Yard, Backyard"," Level, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily," Contemporary,Victorian",Detached,Vinyl Siding,Composition Shingles,Existing,No,1908,No Solar,,Berkeley,LORIN,,,,,,$1.4M - $1.4M," Cash,Conventional,FHA"," Dryer, Washer, Gas Water Heater, Dishwasher, Free-Standing Range",,Public Sewer,Double Strapped Water Heater,,,,,
111397475,Condominium,1920,Forced Air,None,Off Street,$340 monthly,$895,1,1,1," Breakfast Nook, Counter - Solid Surface, Dishwasher, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile",Forced Air,None," Laundry Closet, Community Facility"," Breakfast Nook, Counter - Solid Surface, Updated Kitchen, No Additional Rooms",697,697 sqft,0,None,,Off Street,,,One Story,1,None,Unit Faces Common Area,Level,Standard,Condo,French Provincial,Condominium,Stucco,Tar/Gravel,Existing,No,1920,No Solar,Public,Berkeley,ELMWOOD,$340 monthly,Other," Common Area Maint, Common Hot Water, Exterior Maintenance, Hazard Insurance, Reserves",CALL LISTING AGENT,510-703-8909,$624K - $624K," Cash,Conventional"," Dishwasher, Gas Range, Refrigerator"," Deck, Patio"," Public Sewer, Sump Pump",Smoke Detector(s),,None,None,Classic 4-Plex,Ground Floor Location
331752211,Condominium,1912,Forced Air,Ceiling Fan(s),Parking Spaces,$404 monthly,$673,1,1,1," Counter - Stone, Dishwasher, Garbage Disposal, Microwave, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Tile, Vinyl, Wood",Forced Air,Ceiling Fan(s)," In Unit, Stacked Only"," Stone Counters, Updated Kitchen, Conversion",721,721 sqft,0,None,,Parking Spaces,,,One Story,1,None,No Yard,Regular,Standard,Condo,Other,Condominium,Wood Siding,Composition Shingles,Existing,No,1912,No Solar,Public,Berkeley,BERKELEY,$404 monthly,See Remarks," Common Area Maint, Hazard Insurance, Trash, Water/Sewer, Insurance",NOT LISTED,000-000-0000,$485K - $485K," Cash,Conventional"," Dryer, Washer, Tankless Water Heater, Dishwasher, Disposal, Microwave, Free-Standing Range, Refrigerator, ENERGY STAR Qualified Appliances",,,Carbon Monoxide Detector(s),Window Coverings,None,Park,,
24831753,Detached,1915,Forced Air,None,"Off Street, Electric Vehicle Charging Station(s), No Garage",,$906,4,4,2," Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Microwave, Refrigerator, Updated Kitchen"," Hardwood, Linoleum, Tile, Carpet",Forced Air,None," Dryer, Laundry Closet, Washer"," Eat-in Kitchen, Updated Kitchen, Den, Dining Area, Formal Dining Room, Office, Utility Room, Workshop"," 4,078"," 4,078 sqft",3," Dining Room, Living Room, Gas Piped",," Off Street, Electric Vehicle Charging Station(s), No Garage",,,Three or More Stories,3,None," Back Yard, Garden/Play, Garden"," Cul-De-Sac, Premium Lot, Landscape Front",Standard,SingleFamily,Tudor,Detached,Stucco,Composition Shingles,Existing,No,1915,Photovoltaics Seller Owned,Public,Berkeley,CLAREMONT,,,,,,$3.7M - $3.7M," Cash,Conventional"," Dryer, Washer, Dishwasher, Disposal, Gas Range, Microwave, Refrigerator",,Public Sewer,,,,,B McDougall,
24837190,DUPLEX,1903,Electric,No Air Conditioning,Garage,,$626,3,2,,," Laminate, Vinyl",Electric,No Air Conditioning,,," 1,435"," 1,435 sqft",,,," No Parking on Site, Off Street, No Garage, On Street, Street Parking",,,,,," Back Yard, Side Yard"," Level, Back Yard",Standard,MultiFamily,,DUPLEX,Wood Shingles,Composition Shingles,,,1903,,Public,Berkeley,,,,,,,$899K - $899K," Cash,Conventional,1031 Exchange"," Dryer, Washer",,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)"," Double Pane Windows, Screens",,,,
24848347,Detached,1927,"Baseboard, Forced Air",None,1 Attached Garage space,,$628,3,3,3," Counter - Stone, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile, Vinyl, Wood, Painted/Stained"," Baseboard, Forced Air",None," Laundry Room, Washer/Dryer Stacked Incl"," Stone Counters, Eat-in Kitchen, Updated Kitchen, Au Pair, Family Room, Formal Dining Room, In-Law Floorplan, Office, Storage, Workshop"," 2,151"," 2,151 sqft",2," Family Room, Living Room",1," Attached, Undersized Garage",1,1,Two Story,2,None," Back Yard, Front Yard, Garden/Play, Backyard, Garden"," Sloped Down, Front Yard",Standard,SingleFamily,Spanish,Detached,Siding - Stucco,Other,Existing,No,1927," Other Solar, Photovoltaics Third-Party Owned",Public,Berkeley,BERKELEY HILLS,,,,,,$1.4M - $1.4M," Cash,Conventional"," Dryer, Washer, Tankless Water Heater, Dishwasher, Disposal, Gas Range, Refrigerator"," Deck, Patio",,,,None," Bay, Bay Bridge, San Francisco, Water, City",SF City Views,
24829123,Detached,1916,"Forced Air, Natural Gas, Fireplace(s)",None,1 Garage space,,$877,4,4,3," Breakfast Nook, Counter - Solid Surface, Dishwasher, Eat In Kitchen, Gas Range/Cooktop, Pantry, Range/Oven Free Standing, Refrigerator"," Concrete, Hardwood, Tile"," Forced Air, Natural Gas, Fireplace(s)",None," Hookups Only, In Basement"," Breakfast Nook, Counter - Solid Surface, Eat-in Kitchen, Pantry"," 2,162"," 2,162 sqft",1," Brick, Living Room",1," Detached, Off Street",1,1,Three or More Stories,3,None," Back Yard, Front Yard, Garden/Play, Sprinklers Front, Storage, Garden, Landscape Back, Landscape Front"," Level, Regular",Standard,SingleFamily,Mediterranean,Detached," Stucco, Asphalt"," Rolled/Hot Mop,Tile",Existing,No,1916,No Solar,Public,Berkeley,ELMWOOD,,,,,,$1.9M - $1.9M,Conventional," Gas Water Heater, Dishwasher, Gas Range, Free-Standing Range, Refrigerator",Patio,Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",,,,,
111395532,Detached,1910,Forced Air,None,1 Attached Garage space,,$837,4,2,2," Breakfast Nook, Counter - Solid Surface, Dishwasher, Garbage Disposal, Gas Range/Cooktop"," Hardwood Flrs Throughout, Carpet",Forced Air,None," Dryer, Washer"," Breakfast Nook, Counter - Solid Surface, Au Pair, In-Law Floorplan, Media, Rec/Rumpus Room"," 1,793"," 1,793 sqft",0,None,1,Attached,1,1,Two Story,2,None," Back Yard, Garden/Play, Backyard",,Standard,SingleFamily,Craftsman,Detached,Wood Siding,Composition Shingles,Existing,No,1910,No Solar,Public,Berkeley,POETS CORNER,,,,,,$1.5M - $1.5M," CalHFA,Cash,Conventional"," Dryer, Washer, Dishwasher, Disposal, Gas Range",,Public Sewer,Security System Leased,,,,California,
24847755,Detached,1942,Forced Air,Ceiling Fan(s),2 Garage spaces,,$838,5,3,3," Breakfast Nook, Counter - Stone, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Tile, Wood",Forced Air,Ceiling Fan(s)," Hookups Only, Laundry Room"," Breakfast Nook, Stone Counters, Eat-in Kitchen, Updated Kitchen, Bonus/Plus Room, Family Room"," 3,125"," 3,125 sqft",2," Brick, Other",2," Detached, Garage, Off Street",2,2,Two Story,2,None," Back Yard, Garden/Play, Garden, Low Maintenance",Premium Lot,Standard,SingleFamily,Traditional,Detached,Wood Shingles,Composition Shingles,Existing,No,1942,No Solar,Public,Berkeley,Not Listed,,,,,,$2.6M - $2.6M," Cash,Conventional"," Dishwasher, Disposal, Gas Range, Free-Standing Range, Refrigerator, ENERGY STAR Qualified Appliances, Insulated Water Heater",Deck,Public Sewer,,,,,,
299074408,Detached,1927,"Forced Air, Fireplace(s)",Ceiling Fan(s),Carport,,$586,3,2,2," Breakfast Bar, Counter - Solid Surface, Counter - Stone, Dishwasher, Island"," Hardwood, Tile, Cork"," Forced Air, Fireplace(s)",Ceiling Fan(s)," Gas Dryer Hookup, Hookups Only"," Breakfast Bar, Counter - Solid Surface, Stone Counters, Kitchen Island, Kitchen/Family Combo, Office, Storage, Utility Room, Workshop"," 2,040"," 2,040 sqft",0,Wood Burning,," Carport, Converted Garage, Off Street",,,Two Story,2,None," Back Yard, Front Yard, Side Yard, Garden",,Standard,SingleFamily,Contemporary,Detached," Composition Shingles, Stucco, Frame"," Composition Shingles,Bitumen",Existing,No,1927,No Solar,Water District,Berkeley,WESTBRAE,,,,,,$1.2M - $1.2M," Cash,Conventional"," Gas Water Heater, Tankless Water Heater, Dishwasher",Deck,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)"," Double Pane Windows, Screens"," Disabled Bath Feat, Halls/Doors - 3 Ft Wide, Accessible Approach with Ramp",,Owner,
331752213,Condominium,1912,Forced Air,No Data,Parking Space,No Data,$673,1,1,1," Stone Counters, Remodeled Kitchen"," Tile, Vinyl, Wood",Forced Air,,,Sun,,721 sqft,,None,,Parking Space,,,One,,None,,,,Condo,,Condominium,Wood Siding,Shingle,,,1912,,,Berkeley,BERKELEY,," Insurance, Trash, Water",,NOT LISTED,,,," Dryer, Washer",,,,,None,Park/Greenbelt,,
24850320,Detached,1911,Zoned,Wall/Window Unit(s),2 Garage spaces,,$894,4,5,4," Counter - Stone, Dishwasher, Garbage Disposal, Ice Maker Hookup, Range/Oven Free Standing, Refrigerator, Updated Kitchen, Wet Bar",Hardwood,Zoned,Wall/Window Unit(s)," 220 Volt Outlet, Dryer, Washer"," Stone Counters, Updated Kitchen, Wet Bar, Dining Area, Family Room, Office"," 3,076"," 3,076 sqft",2," Gas, Gas Starter, Living Room, Stone",2," Detached, Off Street, Space Per Unit - 2, Guest, Electric Vehicle Charging Station(s)",2,2,Three or More Stories,3,None," Front Yard, Side Yard, Sprinklers Automatic, Sprinklers Front, Sprinklers Side, Storage, Landscape Front"," Corner Lot, Level",Standard,SingleFamily,Craftsman,Detached,,Composition Shingles,Existing,No,1911,Photovoltaics Seller Owned,,Berkeley,CLAREMONT,,,,,,$2.8M - $2.8M,Conventional," Dishwasher, Disposal, Plumbed For Ice Maker, Free-Standing Range, Refrigerator, Solar Water Heater Owned"," Deck, Patio",Public Sewer,,,,,,
24847057,SINGLE_FAMILY,1924,"Forced air, Gas",None,Garage - Detached,,$630,4,4,3,," Tile, Hardwood"," Forced air, Gas",None,Inside,,," 2,695 sqft",,,,Garage - Detached,,,,,,,,,SingleFamily,,,wood frame,Composition,,No,1924,,,Berkeley,,,,,,,,," Dishwasher, Range / Oven, Refrigerator",,,,,," Water, City",,
24848815,Detached,1920,Zoned,None,"Off Street, Electric Vehicle Charging Station(s)",,$666,4,4,3," Counter - Stone, Dishwasher, Eat In Kitchen, Gas Range/Cooktop, Pantry, Refrigerator, Updated Kitchen"," Hardwood, Laminate, Tile, Carpet",Zoned,None," Dryer, Gas Dryer Hookup, Laundry Room, Washer"," Stone Counters, Eat-in Kitchen, Pantry, Updated Kitchen, Au Pair, Family Room, In-Law Floorplan"," 2,776"," 2,776 sqft",2," Brick, Living Room",," Off Street, Electric Vehicle Charging Station(s)",,,Three or More Stories,3,Private," Back Yard, Front Yard, Garden/Play, Entry Gate, Garden, Landscape Back, Private Entrance, Yard Space, Backyard"," Sloped Down, Level, Front Yard",Standard,SingleFamily,Traditional,Detached," Stucco, Wood Siding",Composition Shingles,Existing,No,1920,No Solar,Public,Berkeley,BERKELEY HILLS,,,,,,$1.8M - $1.8M," Cash,Conventional"," Washer, Dishwasher, Gas Range, Refrigerator",Deck,Public Sewer,,,," Bay, Golden Gate Bridge",,
2115484435,Unimproved Land,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,,,,,,,$295K - $295K," Cash,Conventional,1031 Exchange,Call Listing Agent,Creative",,,,,,,,,
24836580,Detached,1913,"Forced Air, Natural Gas",None,"None, Other",,$904,3,1,1," Counter - Solid Surface, Gas Range/Cooktop, Range/Oven Free Standing, Refrigerator"," Hardwood, Other"," Forced Air, Natural Gas",None," Dryer, Laundry Room, Washer"," Counter - Solid Surface, Dining Area",995,995 sqft,1," Decorative, Living Room",," None, Other",,,One Story,1,None," Back Yard, Front Yard, Garden/Play, Sprinklers Automatic, Sprinklers Back, Sprinklers Front, Landscape Back, Landscape Front, Backyard, Garden"," Level, Premium Lot, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily," Bungalow,Craftsman",Detached,Wood Siding,Composition Shingles,Existing,No,1913,No Solar,,Berkeley,CENTRAL BERKELEY,,,,,,$899K - $899K," Cash,Conventional,FHA"," Dryer, Washer, Gas Water Heater, Tankless Water Heater, Gas Range, Free-Standing Range, Refrigerator",Patio,Public Sewer,,,,,,
2068494502,Detached,1910,Forced Air,None,1 Garage space,,$795,4,3,3," Eat In Kitchen, Updated Kitchen",Hardwood Flrs Throughout,Forced Air,None," Hookups Only, No Hookups"," Eat-in Kitchen, Updated Kitchen"," 2,132"," 2,132 sqft",2," Decorative, Dining Room, Living Room",1," Detached, Off Street",1,1,Two Story,2,None," Back Yard, Side Yard, Storage",Regular,Standard,SingleFamily,Edwardian,Detached,Siding - Other,Shingle,Existing,No,1910,Photovoltaics Seller Owned,Public,Berkeley,BERKELEY,,,,,,$1.7M - $1.7M," Cash,Conventional",Gas Water Heater,,Public Sewer,,,,Park,,
24837538,Detached,1906,Forced Air,None,1 Attached Garage space,,$845,3,2,1," Counter - Stone, Dishwasher, Gas Range/Cooktop, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Hardwood Flrs Throughout, Tile",Forced Air,None," Hookups Only, In Basement"," Stone Counters, Updated Kitchen, Bonus/Plus Room, Office, Storage, Unfinished Room, Workshop"," 1,178"," 1,178 sqft",1," Decorative, Dining Room",1," Attached, Workshop in Garage, Garage Faces Front",1,1,One Story,1,None," Front Yard, Garden/Play, Garden, Backyard"," Level, Regular, Front Yard",Standard,SingleFamily,Craftsman,Detached,Stucco,Composition Shingles,Existing,No,1906,No Solar,Public,Berkeley,NORTH BERKELEY,,,,,,$995K - $995K,Conventional," Gas Water Heater, Dishwasher, Gas Range, Free-Standing Range, Refrigerator"," Deck, Patio"," Public Sewer, Sump Pump",Smoke Detector(s),,,,Craftsman,
24845905,Detached,1919,Radiant,None,1 Attached Garage space,,$739,4,3,3," Dishwasher, Gas Range/Cooktop, Microwave, Refrigerator, Updated Kitchen"," Tile, Wood, Other",Radiant,None," Dryer, Laundry Room, Washer"," Updated Kitchen, Family Room, In-Law Floorplan"," 2,295"," 2,295 sqft",0,None,1,Attached,1,1,Two Story,2,None," Landscape Back, Landscape Front",Corner Lot,Standard,SingleFamily,Custom,Detached,Fiber Cement,Composition Shingles,Existing,No,1919,No Solar,Public,Berkeley,MONTEREY MARKET,,,,,,$1.7M - $1.7M," Cash,Conventional"," Dryer, Washer, Dishwasher, Gas Range, Microwave, Refrigerator",Deck,Public Sewer,,,,,,
24835048,Detached,1925,Forced Air,None,1 Garage space,,$814,2,1,1," 220 Volt Outlet, Counter - Stone, Eat In Kitchen, Refrigerator, Updated Kitchen",Hardwood,Forced Air,None," In Basement, Laundry Room"," Stone Counters, Eat-in Kitchen, Updated Kitchen"," 1,290"," 1,290 sqft",1,Gas,1," Garage Door Opener, Enclosed",1,1,One Story,1,None," Back Yard, Landscape Back, Landscape Front",Level,Standard,SingleFamily,Bungalow,Detached,Stucco,See Remarks,Existing,No,1925," No Solar, 220 Volts in Kitchen",Public,Berkeley,BERKELEY,,,,,,$1.1M - $1.1M,Conventional," Dryer, Washer, Gas Water Heater, Refrigerator",,,,Window Coverings,,,,
24838118,Detached,1924,Forced Air,None,2 Garage spaces,,$613,3,3,2," Counter - Solid Surface, Dishwasher, Double Oven, Electric Range/Cooktop, Garbage Disposal, Refrigerator, Updated Kitchen"," Hardwood, Linoleum, Tile, Vinyl, Carpet",Forced Air,None," Dryer, Washer, Inside"," Counter - Solid Surface, Updated Kitchen, Den, Rec/Rumpus Room"," 2,040"," 2,040 sqft",3," Den, Living Room",2," Garage Door Opener, Detached",2,2,Two Story,2,None," Back Yard, Front Yard",Regular,Standard,SingleFamily," Bungalow,Custom",Detached,Stucco,Composition,Existing,No,1924,No Solar,Public,Berkeley,OCEAN VIEW,,,,,,$1.3M - $1.3M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Dishwasher, Double Oven, Electric Range, Disposal, Refrigerator"," Front Porch, Porch Steps",Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater",,,,,
24846655,Detached,1925,Forced Air,None,1 Attached Garage space,,$945,3,1,1," Counter - Stone, Dishwasher, Garbage Disposal, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Hardwood, Hardwood Flrs Throughout, Tile",Forced Air,None," Gas Dryer Hookup, Hookups Only"," Stone Counters, Updated Kitchen, Bonus/Plus Room"," 1,323"," 1,323 sqft",0,None,1," Attached, Garage, Off Street",1,1,One Story,1,None," Back Yard, Front Yard, Garden/Play, Side Yard, Sprinklers Automatic, Backyard, Garden"," Corner Lot, Premium Lot, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily," Mediterranean,Spanish",Detached,Stucco,Rolled/Hot Mop,Existing,No,1925,No Solar,Public,Berkeley,THOUSAND OAKS,,,,,,$1.3M - $1.3M," Cash,Conventional"," Gas Water Heater, Tankless Water Heater, Dishwasher, Disposal, Free-Standing Range, Refrigerator"," Deck, Patio",Public Sewer,Carbon Monoxide Detector(s),,None,Other,,
24839421,Condominium,1926,"Forced Air, Natural Gas",None,1 Attached Garage space,No Data,$681,3,2,2," Counter - Stone, Dishwasher, Garbage Disposal, Range/Oven Free Standing, Refrigerator"," Hardwood, Tile, Other"," Forced Air, Natural Gas",None," Laundry Room, Washer/Dryer Stacked Incl"," Stone Counters, Office, Storage"," 1,320"," 1,320 sqft",1," Brick, Living Room, Wood Burning",1,Attached,1,1,One Story,1,None,Other," Premium Lot, Landscape Front",Standard,Condo,Mediterranean,Condominium,Stucco,Tar/Gravel,Existing,No,1926,No Solar,Public,Berkeley,NORTH BERKELEY,,Other,Other,NOT LISTED,000-000-0000,$899K - $899K," Cash,Conventional"," Dryer, Washer, Dishwasher, Disposal, Free-Standing Range, Refrigerator",,Public Sewer,,,,,,
24839422,Condominium,1926,Natural Gas,None,Off Street,No Data,$663,2,1,1," Dishwasher, Range/Oven Free Standing, Refrigerator"," Hardwood, Tile",Natural Gas,None," Dryer, Laundry Room, Washer",No Additional Rooms," 1,205"," 1,205 sqft",1," Living Room, Wood Burning",,Off Street,,," One Story,One",1,None," Side Yard, Unit Faces Street",Premium Lot,Standard,Condo,Mediterranean,Condominium,Stucco,Tar/Gravel,Existing,No,1926,No Solar,Public,Berkeley,NORTH BERKELEY,,Other,Other,NOT LISTED,000-000-0000,$799K - $799K," Cash,Conventional"," Dryer, Washer, Tankless Water Heater, Dishwasher, Free-Standing Range, Refrigerator",,Public Sewer,,,,,,
24828604,TRIPLEX,1941,"Forced Air, Wall Furnace",Wall/Window Unit(s),4 Attached Garage spaces,,$483,4,3,,," Hardwood, Tile, Wood, Other"," Forced Air, Wall Furnace",Wall/Window Unit(s)," Dryer, In Basement, Washer",Storage," 2,474"," 2,474 sqft",,,4," Attached, Detached, Off Street, 4-7 Cars",,,,,," Back Yard, Front Yard, Garden/Play, Side Yard, Storage, Landscape Back, Landscape Front, Garden"," 2 Houses / 1 Lot, Level, Area Lighting, Back Yard, Front Yard, Garden, Landscape Back, Landscape Front",Standard,MultiFamily,,TRIPLEX," Brick, Stucco, Wood Siding"," Composition Shingles,Flat",,,1941,,Public,Berkeley,BERKELEY,,,,,,$1.2M - $1.2M,Conventional," Dryer, Washer, Gas Water Heater",Balcony/Patio,Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",,,,,
24842588,SINGLE_FAMILY,1910,Forced air,Central,"Garage - Detached, On-street",,"$1,176",2,2,2,,,Forced air,Central,,,,850 sqft,,,," Garage - Detached, On-street",,,,,,Cement / Concrete,,,SingleFamily,,,wood frame,Composition,,No,1910,,,Berkeley,,,,,,,,,,,,,,,,,
